New,Original Value,Level1,Level2,Level3,Level4
impoverishment,impoverishes the household,impoverishes the household,impoverishes the household,impoverishes the household,impoverishes the household
impoverishment,impoverishing,impoverishing,impoverishing,impoverishing,impoverishes the household
impoverishment,impoverishment,impoverishment,impoverishing,impoverishing,impoverishes the household
,improvements in prevention and care,improvements in prevention and care,improvements in prevention and care,improvements in prevention and care,improvements in prevention and care
,in excess of normal expectancy,in excess of normal expectancy,in excess of normal expectancy,in excess of normal expectancy,in excess of normal expectancy
,inadequate frp inadequate medical care,inadequate frp inadequate medical care,inadequate frp inadequate medical care,inadequate frp inadequate medical care,inadequate frp inadequate medical care
,inadequate production capabilities and suboptimal utilization of adjuvants,inadequate production capabilities and suboptimal utilization of adjuvants,inadequate production capabilities and suboptimal utilization of adjuvants,inadequate production capabilities and suboptimal utilization of adjuvants,inadequate production capabilities and suboptimal utilization of adjuvants
,inadequate reporting,inadequate reporting,inadequate reporting,inadequate reporting,inadequate reporting
,incentive conditions,incentive conditions,incentive conditions,incentive conditions,incentive conditions
,including most other known pathogens,including most other known pathogens,including most other known pathogens,including most other known pathogens,including most other known pathogens
k,other types of pathogens,other types of pathogens,other types of pathogens,including most other known pathogens,including most other known pathogens
k,economic losses,economic losses,financial losses,financial losses,income forgone
k,financial losses,financial losses,financial losses,financial losses,income forgone
losses in income and output,income forgone,income forgone,income forgone,income forgone,income forgone
losses in income and output,large losses in income and output,large losses in income and output,large losses in income and output,large losses in income and output,income forgone
losses in income and output,losses in income and output,large losses in income and output,large losses in income and output,large losses in income and output,income forgone
,"incorrect diagnoses, inap- propriate treatment, wasted resources, and even lost lives","incorrect diagnoses, inap- propriate treatment, wasted resources, and even lost lives","incorrect diagnoses, inap- propriate treatment, wasted resources, and even lost lives","incorrect diagnoses, inap- propriate treatment, wasted resources, and even lost lives","incorrect diagnoses, inap- propriate treatment, wasted resources, and even lost lives"
,increase aware- ness,increase aware- ness,increase aware- ness,increase aware- ness,increase aware- ness
,increase in customer inquiries regarding preparedness,increase in customer inquiries regarding preparedness,increase in customer inquiries regarding preparedness,increase in customer inquiries regarding preparedness,increase in customer inquiries regarding preparedness
,increased demand for help desk support services,increased demand for help desk support services,increased demand for help desk support services,increased demand for help desk support services,increased demand for help desk support services
k,escalating estimates,escalating estimates,escalating estimates,escalating estimates,increased expenditures
increased costs,estimated additional costs,estimated additional costs,estimated costs,estimated costs,increased expenditures
k,estimated costs,estimated costs,estimated costs,estimated costs,increased expenditures
increased costs,greater costs,greater costs,greater costs,increased expenditures,increased expenditures
k,higher wages,higher wages,higher wages,higher wages,increased expenditures
,increased expenditures,increased expenditures,increased expenditures,increased expenditures,increased expenditures
k,increased government spending,increased government spending,increased expenditures,increased expenditures,increased expenditures
k,response costs surged,response costs surged,response costs surged,increased expenditures,increased expenditures
,"increased global travel and integration, urbanization, changes in land use, and greater exploitation of the natural environment","increased global travel and integration, urbanization, changes in land use, and greater exploitation of the natural environment","increased global travel and integration, urbanization, changes in land use, and greater exploitation of the natural environment","increased global travel and integration, urbanization, changes in land use, and greater exploitation of the natural environment","increased global travel and integration, urbanization, changes in land use, and greater exploitation of the natural environment"
,increased globalization,increased globalization,increased globalization,increased globalization,increased globalization
,increased investment in cross-national compensatory transfers of funds,increased investment in cross-national compensatory transfers of funds,increased investment in cross-national compensatory transfers of funds,increased investment in cross-national compensatory transfers of funds,increased investment in cross-national compensatory transfers of funds
,increased outbreak activity,increased outbreak activity,increased outbreak activity,increased outbreak activity,increased outbreak activity
,increased transparency in reporting about disease by affected country,increased transparency in reporting about disease by affected country,increased transparency in reporting about disease by affected country,increased transparency in reporting about disease by affected country,increased transparency in reporting about disease by affected country
,increases in age-specific death rates,increases in age-specific death rates,increases in age-specific death rates,increases in age-specific death rates,increases in age-specific death rates
,an increasing possibility of a recession,increasing likelihood of a recession,increasing likelihood of a recession,increasing likelihood of a recession,increasing likelihood of a recession
,increasing likelihood of a recession,increasing likelihood of a recession,increasing likelihood of a recession,increasing likelihood of a recession,increasing likelihood of a recession
,"increasing trade, travel, population density, human displacement, migration and deforestation, as well as climate change","increasing trade, travel, population density, human displacement, migration and deforestation, as well as climate change","increasing trade, travel, population density, human displacement, migration and deforestation, as well as climate change","increasing trade, travel, population density, human displacement, migration and deforestation, as well as climate change","increasing trade, travel, population density, human displacement, migration and deforestation, as well as climate change"
,incredibly high b/c ratio,incredibly high b/c ratio,incredibly high b/c ratio,incredibly high b/c ratio,incredibly high b/c ratio
,indirect health and economic effects,indirect health and economic effects,indirect health and economic effects,indirect health and economic effects,indirect health and economic effects
,indirect impact,indirect impact,indirect impact,indirect impact,indirect impact
,individual behavioral changes,individual behavioral changes,individual behavioral changes,individual behavioral changes,individual behavioral changes
,contagions,contagions,contagions,contagions,infectious disease outbreaks
k,disease burden,disease burden,disease burden,diseases,infectious disease outbreaks
,disease epidemics,disease outbreaks,diseases,diseases,infectious disease outbreaks
,disease outbreaks,disease outbreaks,diseases,diseases,infectious disease outbreaks
,diseases,diseases,diseases,diseases,infectious disease outbreaks
,diseases and conditions,diseases and conditions,diseases and conditions,diseases,infectious disease outbreaks
k,infectious agent,infectious agent,infectious disease outbreaks,infectious disease outbreaks,infectious disease outbreaks
,infectious disease crises,infectious disease outbreaks,infectious disease outbreaks,infectious disease outbreaks,infectious disease outbreaks
,infectious disease outbreaks,infectious disease outbreaks,infectious disease outbreaks,infectious disease outbreaks,infectious disease outbreaks
,infectious diseases,infectious disease outbreaks,infectious disease outbreaks,infectious disease outbreaks,infectious disease outbreaks
,outbreaks of infectious disease,outbreaks of infectious disease,infectious disease outbreaks,infectious disease outbreaks,infectious disease outbreaks
,information systems advance,information systems advance,information systems advance,information systems advance,information systems advance
,informed of which strains of influenza are circulating,informed of which strains of influenza are circulating,informed of which strains of influenza are circulating,informed of which strains of influenza are circulating,informed of which strains of influenza are circulating
,infrequent natural disasters,infrequent natural disasters,infrequent natural disasters,infrequent natural disasters,infrequent natural disasters
,instability,instability,instability,instability,instability
,insufficient protective measures unable to protect caregivers,insufficient protective measures unable to protect caregivers,insufficient protective measures unable to protect caregivers,insufficient protective measures unable to protect caregivers,insufficient protective measures unable to protect caregivers
,insurance facilities,insurance facilities,insurance facilities,insurance facilities,insurance facilities
,intense global concern,intense international concern,intense international concern,intense international concern,intense international concern
,intense international concern,intense international concern,intense international concern,intense international concern,intense international concern
k,public concerns,public concerns,public concerns,public concerns,intense international concern
intense media attention,intense media atten- tion,intense media atten- tion,intense media atten- tion,intense media atten- tion,intense media atten- tion
k,intense media attention,intense media attention,intense media attention,intense media atten- tion,intense media atten- tion
,intense media attention and uncertainty about the disease,intense media attention and uncertainty about the disease,intense media attention and uncertainty about the disease,intense media attention and uncertainty about the disease,intense media attention and uncertainty about the disease
,intensifying deflationary pressure,intensifying deflationary pressure,intensifying deflationary pressure,intensifying deflationary pressure,intensifying deflationary pressure
,intention and effort,intention and effort,intention and effort,intention and effort,intention and effort
,global collaboration,global collaboration,international collaboration,international collaboration,international collaboration
k,global data sharing,global data sharing,global data sharing,global data sharing,international collaboration
k,globalization,globalization,globalization,globalization,international collaboration
,international collaboration,international collaboration,international collaboration,international collaboration,international collaboration
high infection rate,ease of disease spread,ease of disease spread,ease of disease spread,ease of disease spread,international expansion of epidemic
k,high infection rate,high infection rate,high infection rate,increased frequency of disease outbreaks,international expansion of epidemic
k,increased frequency of disease outbreaks,increased frequency of disease outbreaks,increased frequency of disease outbreaks,increased frequency of disease outbreaks,international expansion of epidemic
k,increasing severity of pandemic,increasing severity of pandemic,increasing severity of pandemic,increasing severity of pandemic,international expansion of epidemic
,international expansion of epidemic,international expansion of epidemic,international expansion of epidemic,international expansion of epidemic,international expansion of epidemic
,international media scrutiny,international media scrutiny,international media scrutiny,international media scrutiny,international media scrutiny
,international travel,international travel,international travel,international travel,international travel
,internet-based reporting,internet-based reporting,internet-based reporting,internet-based reporting,internet-based reporting
,interven- tions,interven- tions,interven- tions,interven- tions,interven- tions
,intrinsic cost,intrinsic cost,intrinsic cost,intrinsic cost,intrinsic cost
,investor confidence,investor confidence,investor confidence,investor confidence,investor confidence
,it is unclear which tissues a therapeutic agent should target,it is unclear which tissues a therapeutic agent should target,it is unclear which tissues a therapeutic agent should target,it is unclear which tissues a therapeutic agent should target,it is unclear which tissues a therapeutic agent should target
,jeopardize health gains,jeopardize health gains,jeopardize health gains,jeopardize health gains,jeopardize health gains
,just-in-time delivery issues,just-in-time delivery issues,just-in-time delivery issues,just-in-time delivery issues,just-in-time delivery issues
,knowledge gaps,knowledge gaps,knowledge gaps,knowledge gaps,knowledge gaps
,laboratory abnormalities,laboratory abnormalities,laboratory abnormalities,laboratory abnormalities,laboratory abnormalities
,lack of an emergency plan in cities,lack of an emergency plan in cities,lack of an emergency plan in cities,lack of an emergency plan in cities,lack of an emergency plan in cities
k,"lack of a reliable diagnostic kit, vaccine, or antiviral drug","lack of a reliable diagnostic kit, vaccine, or antiviral drug","lack of a reliable diagnostic kit, vaccine, or antiviral drug",lack of availability of vaccines during first wave of infection,lack of availability of vaccines during first wave of infection
,lack of availability of vaccines during first wave of infection,lack of availability of vaccines during first wave of infection,lack of availability of vaccines during first wave of infection,lack of availability of vaccines during first wave of infection,lack of availability of vaccines during first wave of infection
,lack of clean water and adequate sanitation,lack of clean water and adequate sanitation,lack of clean water and adequate sanitation,lack of clean water and adequate sanitation,lack of clean water and adequate sanitation
,lack of human capacity,lack of human capacity,lack of human capacity,lack of human capacity,lack of human capacity
lack of medical information on the pandemic,lack of medical information,lack of medical information,lack of medical information,lack of medical information,lack of medical information
lack of medical information on the pandemic,lack of sufficient medical information on the pandemic,lack of sufficient medical information on the pandemic,lack of sufficient medical information on the pandemic,lack of medical information,lack of medical information
,lack of preexisting immunity,lack of preexisting immunity,lack of preexisting immunity,lack of preexisting immunity,lack of preexisting immunity
,lack of preparedness outside the health sector,lack of preparedness outside the health sector,lack of preparedness outside the health sector,lack of preparedness outside the health sector,lack of preparedness outside the health sector
,lack of scientific understanding,lack of scientific understanding,lack of scientific understanding,lack of scientific understanding,lack of scientific understanding
k,insufficient data,insufficient data,insufficient data,insufficient data,lack of transparency in providing information
insufficient data,lack of information,lack of information,insufficient data,insufficient data,lack of transparency in providing information
,lack of transparency in providing information,lack of transparency in providing information,lack of transparency in providing information,lack of transparency in providing information,lack of transparency in providing information
,lacking other forms of effective interventions,lacking other forms of effective interventions,lacking other forms of effective interventions,lacking other forms of effective interventions,lacking other forms of effective interventions
k,decline in vigilance,decline in vigilance,decline in vigilance,decline in vigilance,lapses in surveillance
,lapses in surveillance,lapses in surveillance,lapses in surveillance,lapses in surveillance,lapses in surveillance
,large declines from high levels of mortality,large declines from high levels of mortality,large declines from high levels of mortality,large declines from high levels of mortality,large declines from high levels of mortality
,large impact on communications sectors,large impact on communications sectors,large impact on communications sectors,large impact on communications sectors,large impact on communications sectors
,large impact on transport sectors,large impact on transport sectors,large impact on transport sectors,large impact on transport sectors,large impact on transport sectors
,large impacts on availability of processed foods,large impacts on availability of processed foods,large impacts on availability of processed foods,large impacts on availability of processed foods,large impacts on availability of processed foods
,large impacts on availability or paper,large impacts on availability or paper,large impacts on availability or paper,large impacts on availability or paper,large impacts on availability or paper
,large impacts on availability or plastics,large impacts on availability or plastics,large impacts on availability or plastics,large impacts on availability or plastics,large impacts on availability or plastics
,large impacts on availability or textiles,large impacts on availability or textiles,large impacts on availability or textiles,large impacts on availability or textiles,large impacts on availability or textiles
high mortality and morbidity rates,high mortality and morbidity rates,high mortality and morbidity rates,large morbidity and mor- tality spikes,large morbidity and mor- tality spikes,large morbidity and mor- tality spikes
high mortality and morbidity rates,large morbidity and mor- tality spikes,large morbidity and mor- tality spikes,large morbidity and mor- tality spikes,large morbidity and mor- tality spikes,large morbidity and mor- tality spikes
high mortality and morbidity rates,morbidity and mortality shocks,morbidity and mortality shocks,morbidity and mortality shocks,morbidity and mortality shocks,large morbidity and mor- tality spikes
high mortality and morbidity rates,significant morbidity and mortality,significant morbidity and mortality,significant morbidity and mortality,large morbidity and mor- tality spikes,large morbidity and mor- tality spikes
high mortality and morbidity rates,widespread increases in morbidity and mortality,widespread increases in morbidity and mortality,large morbidity and mor- tality spikes,large morbidity and mor- tality spikes,large morbidity and mor- tality spikes
likelihood of a data breach,likelihood of a data breach,likelihood of a data breach,likelihood of a data breach,likelihood of data exposure,likelihood of data exposure
likelihood of a data breach,likelihood of data exposure,likelihood of data exposure,likelihood of data exposure,likelihood of data exposure,likelihood of data exposure
,limitations,limitations,limitations,limitations,limitations
,limitations to reviving economies facing widespread reductions by governments,limitations to reviving economies facing widespread reductions by governments,limitations to reviving economies facing widespread reductions by governments,limitations to reviving economies facing widespread reductions by governments,limitations to reviving economies facing widespread reductions by governments
,limited supply chain flexibility,limited supply chain flexibility,limited supply chain flexibility,limited supply chain flexibility,limited supply chain flexibility
k,supply chain disruptions,supply chain disruptions,supply chain disruptions,supply chain disruptions,limited supply chain flexibility
supply chain disruptions,supply chain issues,supply chain issues,supply chain issues,supply chain disruptions,limited supply chain flexibility
supply chain disruptions,supply constraints,supply constraints,supply constraints,limited supply chain flexibility,limited supply chain flexibility
limited product and vendor alternatives,limited product alternatives,limited product alternatives,limited product alternatives,limited vendor alternatives,limited vendor alternatives
limited product and vendor alternatives,limited vendor alternatives,limited vendor alternatives,limited vendor alternatives,limited vendor alternatives,limited vendor alternatives
,limiting the spread of a pandemic,limiting the spread of a pandemic,limiting the spread of a pandemic,limiting the spread of a pandemic,limiting the spread of a pandemic
,lives are threatened,lives are threatened,lives are threatened,lives are threatened,lives are threatened
,lmics,lmics,lmics,lmics,lmics
,location of original pandemic,location of original pandemic,location of original pandemic,location of original pandemic,location of original pandemic
,logistic constraints,logistic constraints,logistic constraints,logistic constraints,logistic constraints
,longer-term negative shocks,longer-term negative shocks,longer-term negative shocks,longer-term negative shocks,longer-term negative shocks
,loss,loss,loss,loss,loss
,substantial losses,substantial losses,substantial losses,substantial losses,loss
,loss in gdp,loss in gdp,loss in gdp,loss in gdp,loss in gdp
k,reduction in gdp growth,reduction in gdp growth,reduction in gdp growth,reduction in gdp growth,loss in gdp
,"loss in investment (inward and outward), retail sales, restaurants, hotels, tourism and air transport","loss in investment (inward and outward), retail sales, restaurants, hotels, tourism and air transport","loss in investment (inward and outward), retail sales, restaurants, hotels, tourism and air transport","loss in investment (inward and outward), retail sales, restaurants, hotels, tourism and air transport","loss in investment (inward and outward), retail sales, restaurants, hotels, tourism and air transport"
,lost $us 25 billion to $us 30 billion,lost $us 25 billion to $us 30 billion,lost $us 25 billion to $us 30 billion,lost $us 25 billion to $us 30 billion,lost $us 25 billion to $us 30 billion
,lost their lives,lost their lives,lost their lives,lost their lives,lost their lives
,low tax base,low tax base,low tax base,low tax base,low tax base
,lower foreign exchange receipts,lower foreign exchange receipts,lower foreign exchange receipts,lower foreign exchange receipts,lower foreign exchange receipts
k,large decrease in spending,large decrease in spending,large decrease in spending,large decrease in spending,lower future investment
k,lower earnings,lower earnings,lower earnings,lower earnings,lower future investment
reductions in investment,lower future investment,lower future investment,lower future investment,lower future investment,lower future investment
k,reduction in autonomous consumption expenditure,reduction in autonomous consumption expenditure,reduction in autonomous consumption expenditure,reduction in autonomous consumption expenditure,lower future investment
reductions in investment,reductions in investment,reductions in investment,reductions in investment,lower future investment,lower future investment
k,reductions in revenue,reductions in revenue,reductions in revenue,large decrease in spending,lower future investment
,macroeconomic policy makers underinvest in health,macroeconomic policy makers underinvest in health,macroeconomic policy makers underinvest in health,macroeconomic policy makers underinvest in health,macroeconomic policy makers underinvest in health
,manufacturers are scaling back production on many goods,manufacturers are scaling back production on many goods,manufacturers are scaling back production on many goods,manufacturers are scaling back production on many goods,manufacturers are scaling back production on many goods
,manufacturers outside of china decrease production,manufacturers outside of china decrease production,manufacturers outside of china decrease production,manufacturers are scaling back production on many goods,manufacturers are scaling back production on many goods
k,investments in public health and emergency preparedness,investments in public health and emergency preparedness,investments in public health and emergency preparedness,investments in public health and emergency preparedness,many investments in building basic health system capacity also support core dimensions of pandemic preparedness
,many investments in building basic health system capacity also support core dimensions of pandemic preparedness,many investments in building basic health system capacity also support core dimensions of pandemic preparedness,many investments in building basic health system capacity also support core dimensions of pandemic preparedness,many investments in building basic health system capacity also support core dimensions of pandemic preparedness,many investments in building basic health system capacity also support core dimensions of pandemic preparedness
,markets have a tendency to overreact,markets have a tendency to overreact,markets have a tendency to overreact,markets have a tendency to overreact,markets have a tendency to overreact
k,exposure to infected individuals,exposure to infected individuals,exposure to infected individuals,exposure to infected individuals,members of public being at risk of infection
public risk of infection,members of public being at risk of infection,members of public being at risk of infection,members of public being at risk of infection,members of public being at risk of infection,members of public being at risk of infection
,minimizing their impact on the health and economy of the worlds populations,minimizing their impact on the health and economy of the worlds populations,minimizing their impact on the health and economy of the worlds populations,minimizing their impact on the health and economy of the worlds populations,minimizing their impact on the health and economy of the worlds populations
,misdiagnosis,misdiagnosis,misdiagnosis,misdiagnosis,misdiagnosis
,modern travel and labor migration patterns,modern travel and labor migration patterns,modern travel and labor migration patterns,modern travel and labor migration patterns,modern travel and labor migration patterns
,momentous measures,momentous measures,momentous measures,momentous measures,momentous measures
k,long transmission chains,long transmission chains,long transmission chains,more extensive transmission,more extensive transmission
,more extensive transmission,more extensive transmission,more extensive transmission,more extensive transmission,more extensive transmission
,more formal structures,more formal structures,more formal structures,more formal structures,more formal structures
,mortality,mortality,mortality,mortality,mortality
,most of the potential burden,most of the potential burden,most of the potential burden,most of the potential burden,most of the potential burden
,multivolume format,multivolume format,multivolume format,multivolume format,multivolume format
,high mutation rates,high mutation rates,high mutation rates,high mutation rates,mutations
,mutations,mutations,mutations,mutations,mutations
,mutual recognition agreements,mutual recognition agreements,mutual recognition agreements,mutual recognition agreements,mutual recognition agreements
,ncd mortality,ncd mortality,ncd mortality,ncd mortality,ncd mortality
,nearly absent,nearly absent,nearly absent,nearly absent,nearly absent
,need to minimize the occurrence of all contagious diseases;,need to minimize the occurrence of all contagious diseases;,need to minimize the occurrence of all contagious diseases;,need to minimize the occurrence of all contagious diseases;,need to minimize the occurrence of all contagious diseases;
,negative connotations,negative connotations,negative connotations,negative connotations,negative connotations
k,negative externalities,negative externalities,negative externalities,negative connotations,negative connotations
,negative pressure rooms to isolate infected patients are in shorter supply;,negative pressure rooms to isolate infected patients are in shorter supply;,negative pressure rooms to isolate infected patients are in shorter supply;,negative pressure rooms to isolate infected patients are in shorter supply;,negative pressure rooms to isolate infected patients are in shorter supply;
negative shocks to economic growth,negative shocks to eco- nomic growth,negative shocks to eco- nomic growth,negative shocks to eco- nomic growth,negative shocks to eco- nomic growth,negative shocks to eco- nomic growth
significant economic social and political disruption,"significant eco- nomic, social, and political disruption","significant eco- nomic, social, and political disruption","significant eco- nomic, social, and political disruption","significant eco- nomic, social, and political disruption",negative shocks to eco- nomic growth
,new and reemerging diseases,new and reemerging diseases,new and reemerging diseases,new and reemerging diseases,new and reemerging diseases
,new outbreaks,new outbreaks,new outbreaks,new and reemerging diseases,new and reemerging diseases
,"new households may encounter che, while others may become nonspenders because they are no longer able to pay for care","new households may encounter che, while others may become nonspenders because they are no longer able to pay for care","new households may encounter che, while others may become nonspenders because they are no longer able to pay for care","new households may encounter che, while others may become nonspenders because they are no longer able to pay for care","new households may encounter che, while others may become nonspenders because they are no longer able to pay for care"
,news blackout,news blackout,news blackout,news blackout,news blackout
imperfect compliance or noncompliance,imperfect adherence,imperfect adherence,imperfect adherence,imperfect adherence,non- compliance
imperfect compliance or noncompliance,non- compliance,non- compliance,non- compliance,non- compliance,non- compliance
,nonfatal health losses,nonfatal health losses,nonfatal health losses,nonfatal health losses,nonfatal health losses
,nonspecific symptoms,nonspecific symptoms,nonspecific symptoms,nonspecific symptoms,nonspecific symptoms
,obesity,obesity,obesity,obesity,obesity
,operational disruptions,operational disruptions,operational disruptions,operational disruptions,operational disruptions
,organizational barriers,organizational obstacles,organizational obstacles,organizational obstacles,organizational obstacles
,organizational obstacles,organizational obstacles,organizational obstacles,organizational obstacles,organizational obstacles
,organized community effort,organized community effort,organized community effort,organized community effort,organized community effort
,outbreaks and epidemics,outbreaks and epidemics,outbreaks and epidemics,outbreaks and epidemics,outbreaks and epidemics
,overreaction,overreaction,overreaction,overreaction,overreaction
,overrun healthcare systems,overrun healthcare systems,overrun healthcare systems,overrun healthcare systems,overrun healthcare systems
k,rise in endemic diseases due to overrun healthcare systems,rise in endemic diseases due to overrun healthcare systems,rise in endemic diseases due to overrun healthcare systems,overrun healthcare systems,overrun healthcare systems
,pandemic mitigation measures,pandemic mitigation measures,pandemic mitigation measures,pandemic mitigation measures,pandemic mitigation measures
,pandemic,pandemic,pandemic or epidemic events,pandemic or epidemic events,pandemic or epidemic events
,pandemic or epidemic events,pandemic or epidemic events,pandemic or epidemic events,pandemic or epidemic events,pandemic or epidemic events
,pandemic risk,pandemic risk,pandemic risk,pandemic or epidemic events,pandemic or epidemic events
,pandemic strain circulating amongst host long before detection,pandemic strain circulating amongst host long before detection,pandemic strain circulating amongst host long before detection,pandemic strain circulating amongst host long before detection,pandemic strain circulating amongst host long before detection
,pandemics,pandemics,pandemics,pandemics,pandemics
,panic,panic,panic,panic,panic
,panic among the general population,panic among the general population,publics alarm,panic,panic
k,publics alarm,publics alarm,publics alarm,panic,panic
,panic began generating refugee flows,panic began generating refugee flows,panic began generating refugee flows,panic began generating refugee flows,panic began generating refugee flows
,paper-based information systems,paper-based information systems,paper-based information systems,paper-based information systems,paper-based information systems
k,delay in trade flows,delay in trade flows,delay in trade flows,delay in trade flows,people are delaying or canceling discretionary purchases
,people are delaying or canceling discretionary purchases,people are delaying or canceling discretionary purchases,people are delaying or canceling discretionary purchases,people are delaying or canceling discretionary purchases,people are delaying or canceling discretionary purchases
,perceived trustworthiness of information sources,perceived trustworthiness of information sources,perceived trustworthiness of information sources,perceived trustworthiness of information sources,perceived trustworthiness of information sources
,perception of outcome of infection,perception of outcome of infection,perception of outcome of infection,perception of outcome of infection,perception of outcome of infection
,plague,plague,plague,plague,plague
,plant workers will have no immunity to the pathogens they will be handling,plant workers will have no immunity to the pathogens they will be handling,plant workers will have no immunity to the pathogens they will be handling,plant workers will have no immunity to the pathogens they will be handling,plant workers will have no immunity to the pathogens they will be handling
political commitment and public concern,po- litical commitment and public concern,po- litical commitment and public concern,po- litical commitment and public concern,po- litical commitment and public concern,po- litical commitment and public concern
,policies,policies,policies,policies,policies
,political and economic stakes rose,political and economic stakes rose,political and economic stakes rose,political and economic stakes rose,political and economic stakes rose
,political polarization due to conflicting policies on regulation,political polarization due to conflicting policies on regulation,political polarization due to conflicting policies on regulation,political polarization due to conflicting policies on regulation,political polarization due to conflicting policies on regulation
,political stress in countries with weak institutions,political stress in countries with weak institutions,political stress in countries with weak institutions,political stress in countries with weak institutions,political stress in countries with weak institutions
,political stresses and tensions,political stresses and tensions,political stresses and tensions,political stresses and tensions,political stresses and tensions
,political up- heaval,political up- heaval,political up- heaval,political up- heaval,political up- heaval
,political will,political will,political will,political will,political will
,poor countries,poor countries,poor countries,poor countries,poor countries
,poor data integrity,poor data integrity,poor data integrity,poor data integrity,poor data integrity
,poor data quality,poor data quality,poor data quality,poor data quality,poor data quality
k,poor quality,poor quality,poor quality,poor data quality,poor data quality
,poor-quality data,poor-quality data,poor data quality,poor data quality,poor data quality
,poor quarantine procedures,poor quarantine procedures,poor quarantine procedures,poor quarantine procedures,poor quarantine procedures
,poor tracking of spending associated with pandemic preparedness,poor tracking of spending associated with pandemic preparedness,poor tracking of spending associated with pandemic preparedness,poor tracking of spending associated with pandemic preparedness,poor tracking of spending associated with pandemic preparedness
k,low quality of care,low quality of care,low quality of care,low quality of care,poorer access to services
,poorer access to services,poorer access to services,poorer access to services,poorer access to services,poorer access to services
,population aging and high rates of nonfatal health loss,population aging and high rates of nonfatal health loss,population aging and high rates of nonfatal health loss,population aging and high rates of nonfatal health loss,population aging and high rates of nonfatal health loss
k,population health,population health,population health,population health improvements,population health improvements
,population health improvements,population health improvements,population health improvements,population health improvements,population health improvements
,"port congestion, a significant decrease in air freight capacity, and truck driver shortages","port congestion, a significant decrease in air freight capacity, and truck driver shortages","port congestion, a significant decrease in air freight capacity, and truck driver shortages","port congestion, a significant decrease in air freight capacity, and truck driver shortages","port congestion, a significant decrease in air freight capacity, and truck driver shortages"
,"significant port congestion, a significant decrease in air freight capacity, and truck driver shortages","port congestion, a significant decrease in air freight capacity, and truck driver shortages","port congestion, a significant decrease in air freight capacity, and truck driver shortages","port congestion, a significant decrease in air freight capacity, and truck driver shortages","port congestion, a significant decrease in air freight capacity, and truck driver shortages"
,poverty will increase,poverty will increase,poverty will increase,poverty will increase,poverty will increase
,practice conditions will vary among countries and regions,practice conditions will vary among countries and regions,practice conditions will vary among countries and regions,practice conditions will vary among countries and regions,practice conditions will vary among countries and regions
,practices in many emerging economies are rapidly changing,practices in many emerging economies are rapidly changing,practices in many emerging economies are rapidly changing,practices in many emerging economies are rapidly changing,practices in many emerging economies are rapidly changing
,pre-pandemic vaccination,pre-pandemic vaccination,pre-pandemic vaccination,pre-pandemic vaccination,pre-pandemic vaccination
k,quarantine to vaccination,quarantine to vaccination,quarantine to vaccination,quarantine to vaccination,pre-pandemic vaccination
k,vaccines,vaccines,vaccines,vaccines,pre-pandemic vaccination
,preclude eradication,preclude eradication,preclude eradication,preclude eradication,preclude eradication
,preparedness planning,preparedness planning,preparedness planning,preparedness planning,preparedness planning
,pressures and blockages built up,pressures and blockages built up,pressures and blockages built up,pressures and blockages built up,pressures and blockages built up
,price elasticity of demand,price elasticity of demand,price elasticity of demand,price elasticity of demand,price elasticity of demand
,problems of trust,problems of trust,problems of trust,problems of trust,problems of trust
,lost productivity,lost productivity,lost productivity,productivity losses,productivity losses
,productivity losses,productivity losses,productivity losses,productivity losses,productivity losses
,prolonged periods of absence from work,prolonged periods of absence from work,prolonged periods of absence from work,prolonged periods of absence from work,prolonged periods of absence from work
k,early detection,early detection,early detection,early detection,prompt intervention
,prompt intervention,prompt intervention,prompt intervention,prompt intervention,prompt intervention
,prophylactic guarding,prophylactic guarding,prophylactic guarding,prophylactic guarding,prophylactic guarding
,public awareness campaigns,public awareness campaigns,public awareness campaigns,public awareness campaigns,public awareness campaigns
,public health crisis caps,public health crisis caps,public health crisis caps,public health crisis caps,public health crisis caps
,public perception of risk of becoming infected,public perception of risk of becoming infected,public perception of risk of becoming infected,public perception of risk of becoming infected,public perception of risk of becoming infected
,publication bias,publication bias,publication bias,publication bias,publication bias
,putting more of their own citizens at risk,putting more of their own citizens at risk,putting more of their own citizens at risk,putting more of their own citizens at risk,putting more of their own citizens at risk
,quality,quality,quality,quality,quality
,quarantines and curfews reduced government capacity to collect revenue,quarantines and curfews reduced government capacity to collect revenue,quarantines and curfews reduced government capacity to collect revenue,quarantines and curfews reduced government capacity to collect revenue,quarantines and curfews reduced government capacity to collect revenue
quarantines curfews and travel restrictions,mandatory employee quarantines,mandatory employee quarantines,mandatory employee quarantines,mandatory employee quarantines,quarantines and travel restrictions
quarantines curfews and travel restrictions,quarantine,quarantine,quarantine orders,quarantine orders,quarantines and travel restrictions
quarantines curfews and travel restrictions,quarantine of large population,quarantine of large population,quarantine of large population,quarantine orders,quarantines and travel restrictions
quarantines curfews and travel restrictions,quarantine orders,quarantine orders,quarantine orders,quarantine orders,quarantines and travel restrictions
quarantines curfews and travel restrictions,quarantines,quarantines,quarantines,quarantines,quarantines and travel restrictions
quarantines curfews and travel restrictions,quarantines and curfews,quarantines and curfews,quarantines and travel restrictions,quarantines and travel restrictions,quarantines and travel restrictions
